State,Today,Scenario1,Scenario2,Scenario3,Scenario4,Scenario4a,Scenario5,Scenario6
Sales," $18,169.30 "," $18,169.30 "," $18,169.30 "," $18,169.30 "," $18,169.30 "," $18,543.71 "," $21,425.01 "," $22,035.62 "
Expense," $15,288.00 "," $15,267.71 "," $15,288.00 "," $18,169.30 "," $18,543.71 "," $18,543.71 "," $18,543.71 "," $18,543.71 "
Tax, $922.02 , $928.51 , $922.02 , $-   , $-   , $-   , $922.02 ," $1,117.40 "
Income," $1,959.28 "," $1,973.08 "," $1,959.28 ", $-   ,-$374.41 , $-   ," $1,959.28 "," $2,374.50 "
IncomePercent,10.78%,10.86%,10.78%,0.00%,-2.06%,0.00%,9.14%,10.78%
PriceInc,0,0,0,0,0,2.06%,17.92%,21.28%
Employees,420000,420000,420000,420000,420000,420000,420000,420000
Hours,1300,1300,1300,1300,1300,1300,1300,1300
TotHours,546000000,546000000,546000000,546000000,546000000,546000000,546000000,546000000
Comp, $-   , $-   , $0.04 , $5.31 , $6.00 , $6.00 , $6.00 , $6.00 
RevAdd, $-   , $-   , $-   , $-   , $-   , $374.41 ," $3,255.71 "," $3,866.32 "
ExpAdd, $-   , $-   , $-   , $-   ," $3,276.00 "," $3,276.00 "," $3,276.00 "," $3,276.00 "
